nome completo,CPF,CEP,endereçø,número e complemento,cidade,estado,valor,parcelas,tipo de desconto,valor do desconto,vencimento do desconto YYYY-MM-DD
Abelardo José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Geroudo José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre
Abidul José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Wisconsin José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Xuxa José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Sei lá José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Matheus José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Anderson José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Juvenal José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01
Geremias José da Silva,235.454.545-54,08557-700,Rua das coves,441,Rondolândia do Sul,Acre,1500.00,6,percent,10,2020-03-01



